Variable,Missing_Count,Missing_Pct
technical_quality_issues,552,45.320197044334975
LQ_Company_Name,367,30.13136288998358
customer_marketing_experience,214,17.569786535303777
ready_for_customers,202,16.58456486042693
customer_sentiment_lgs,156,12.807881773399016
LQ_Service,139,11.412151067323482
timezone,127,10.426929392446633
customer_knows_marketing,102,8.374384236453201
customer_availability,97,7.963875205254515
who_said_hello_first_lgs,92,7.55336617405583
is_decision_maker,90,7.389162561576355
season_status,81,6.65024630541872
ready_to_transfer,81,6.65024630541872
lgs_agent_gender,66,5.41871921182266
customer_language,65,5.336617405582922
time_to_reason_seconds,42,3.4482758620689653
technical_quality_score,40,3.284072249589491
lgs_sentiment_style,10,0.8210180623973727
forbidden_industry,7,0.5747126436781609
omc_agent_sentiment_style,3,0.24630541871921183
timeline_mentions_final_2min,2,0.16420361247947454
customer_talk_percentage,2,0.16420361247947454
season_month,1,0.08210180623973727
total_buying_signals,1,0.08210180623973727
total_discovery_questions,1,0.08210180623973727
objections_acknowledged,1,0.08210180623973727
total_objections,1,0.08210180623973727
price_mentions_final_2min,1,0.08210180623973727
contract_mentions_final_2min,1,0.08210180623973727
objections_rebutted,1,0.08210180623973727
total_interruptions,1,0.08210180623973727
