Variable,XGB_Importance
total_buying_signals,0.23703071
omc_who_said_hello_first,0.06783099
total_discovery_questions,0.06219188
timeline_mentions_final_2min,0.044506516
customer_sentiment_omc,0.03717326
TO_OMC_Disposiion,0.03357577
call_result_tag,0.030642914
total_objections,0.029810224
total_interruptions,0.027541533
price_mentions_final_2min,0.026991857
objections_rebutted,0.026485184
TO_length_in_sec,0.021181025
TO_OMC_User,0.018219696
customer_knows_marketing,0.018190542
within_45_seconds,0.017263703
call_structure_framed,0.016135873
time_to_reason_seconds,0.016103271
omc_agent_sentiment_style,0.015575694
objections_acknowledged,0.015474096
LQ_Company_Name,0.014979306
technical_quality_score,0.0147890905
lgs_sentiment_style,0.01406021
customer_marketing_experience,0.013357954
location_mentioned,0.012693349
TO_Event_O,0.01251695
TO_User_M,0.012279755
customer_talk_percentage,0.012239592
timezone,0.012019848
LQ_Company_Address,0.011950272
Connection Made Calls,0.011863657
technical_quality_issues,0.011543653
season_status,0.011120534
LQ_Service,0.01071406
LQ_Customer_Name,0.010672992
lgs_agent_gender,0.010604784
customer_sentiment_lgs,0.010010107
ready_to_transfer,0.009885059
Calls Count,0.00946871
ready_for_customers,0.008829916
commitment_type,0.00247537
is_decision_maker,0.0
customer_availability,0.0
who_said_hello_first_lgs,0.0
forbidden_industry,0.0
customer_language,0.0
business_type_mentioned,0.0
contract_mentions_final_2min,0.0
