Variable,Correlation,Abs_Correlation,P_Value,Significant,Direction,Strength,N
total_call_duration,0.6313652351917203,0.6313652351917203,1.906526078265694e-136,Yes,Positive (favors long),Strong,1218
total_discovery_questions,0.5615377107632036,0.5615377107632036,4.638546458617044e-102,Yes,Positive (favors long),Strong,1217
extended_monologues_count,0.5183262467822074,0.5183262467822074,1.2466020018582434e-84,Yes,Positive (favors long),Strong,1217
goal1_questions,0.49014459382881975,0.49014459382881975,1.5081582879309309e-74,Yes,Positive (favors long),Strong,1217
goal2_questions,0.48440790787207116,0.48440790787207116,1.3117335154086434e-72,Yes,Positive (favors long),Strong,1217
long_monologues,0.4613917826674409,0.4613917826674409,3.4535199615985885e-65,Yes,Positive (favors long),Strong,1217
total_buying_signals,0.4043922897384757,0.4043922897384757,4.350781998136956e-49,Yes,Positive (favors long),Strong,1217
medium_monologues,0.40283888506642923,0.40283888506642923,1.085031669859108e-48,Yes,Positive (favors long),Strong,1217
price_timeline_contract_before_dropoff,0.3792965843229004,0.3792965843229004,6.275182849121138e-43,Yes,Positive (favors long),Strong,1217
objections_rebutted,0.37239984960021966,0.37239984960021966,2.502145015719204e-41,Yes,Positive (favors long),Strong,1217
very_long_monologues,0.367149833711671,0.367149833711671,3.899808268339268e-40,Yes,Positive (favors long),Strong,1217
time_in_final_stage,0.3472728275287454,0.3472728275287454,9.252173945121017e-36,Yes,Positive (favors long),Strong,1215
total_objections,0.33515953123688874,0.33515953123688874,2.4761635991704484e-33,Yes,Positive (favors long),Strong,1217
short_monologues,0.33277524625571864,0.33277524625571864,7.408843947710117e-33,Yes,Positive (favors long),Strong,1217
price_mentions_final_2min,0.3325693302617528,0.3325693302617528,8.140670533392441e-33,Yes,Positive (favors long),Strong,1217
total_resistance_signals,0.33116939971555104,0.33116939971555104,1.5415559680667884e-32,Yes,Positive (favors long),Strong,1217
total_interruptions,0.31092436911640703,0.31092436911640703,1.0944243632006298e-28,Yes,Positive (favors long),Strong,1217
objections_acknowledged,0.28719910560026646,0.28719910560026646,1.5327825473086687e-24,Yes,Positive (favors long),Moderate,1217
empathy_responses,0.26604963934782166,0.26604963934782166,3.642243078971666e-21,Yes,Positive (favors long),Moderate,1217
longest_monologue_length,0.2570086736178454,0.2570086736178454,8.518194055294962e-20,Yes,Positive (favors long),Moderate,1216
timeline_mentions_final_2min,0.2530745419066691,0.2530745419066691,3.1820136223170796e-19,Yes,Positive (favors long),Moderate,1216
rapport_elements_count,0.22195503292456448,0.22195503292456448,4.765042314120252e-15,Yes,Positive (favors long),Moderate,1217
acknowledgement_rate,0.2155916382212417,0.2155916382212417,2.8961458516790415e-14,Yes,Positive (favors long),Moderate,1217
customer_talk_percentage,0.206573304509341,0.206573304509341,3.4732017290478294e-13,Yes,Positive (favors long),Moderate,1216
goal3_questions,0.2002787329669897,0.2002787329669897,1.7737029540345325e-12,Yes,Positive (favors long),Moderate,1217
empathy_response_rate,0.19464631386740341,0.19464631386740341,7.438368460959053e-12,Yes,Positive (favors long),Moderate,1217
TO_length_in_sec,0.18314024549897576,0.18314024549897576,1.1983334028440985e-10,Yes,Positive (favors long),Moderate,1218
contract_mentions_final_2min,0.1274986660614527,0.1274986660614527,8.138529540287802e-06,Yes,Positive (favors long),Moderate,1217
time_to_reason_seconds,0.1230473326941695,0.1230473326941695,2.3240080047829755e-05,Yes,Positive (favors long),Moderate,1176
name_usage_count,0.12199774273300869,0.12199774273300869,1.9764777332598106e-05,Yes,Positive (favors long),Moderate,1217
Connection Made Calls,-0.07858384401202337,0.07858384401202337,0.006069679093001401,Yes,Negative (favors short),Weak,1218
interruption_rate,0.0656580378838224,0.0656580378838224,0.021984618530412548,Yes,Positive (favors long),Weak,1217
agent_talk_percentage,-0.05763518471313181,0.05763518471313181,0.04449356012034509,Yes,Negative (favors short),Weak,1216
Calls Count,-0.05636248464698338,0.05636248464698338,0.04923091855904808,Yes,Negative (favors short),Weak,1218
technical_quality_score,0.043587291104346414,0.043587291104346414,0.13488167521266062,No,Positive (favors long),Weak,1178
Dial Attempt Calls,-0.03771834333288598,0.03771834333288598,0.18834820048516585,No,Negative (favors short),Weak,1218
average_monologue_length,0.005396902333465001,0.005396902333465001,0.8508733320518198,No,Positive (favors long),Weak,1216
