Variable,Std_Dev,Mean,Coefficient_of_Variation,Variability
goal3_questions,1.4978660143336802,0.48519736842105265,308.71272431012795,High
Dial Attempt Calls,1.3425085096968994,0.7701149425287356,174.32573185616457,High
time_to_reason_seconds,33.020247481587454,21.200663349917082,155.75101088389576,High
price_mentions_final_2min,2.062609284945368,1.361842105263158,151.45730015057774,High
total_buying_signals,5.325560074864039,3.692434210526316,144.22897663774324,High
objections_acknowledged,1.6035563474147345,1.2664473684210527,126.61847522443617,High
objections_rebutted,1.9011575375697982,1.6151315789473684,117.70914285564535,High
acknowledgement_rate,42.3226081218683,40.19375,105.29649042915452,High
total_resistance_signals,2.5500793533199237,2.8947368421052633,88.09365038741555,High
total_objections,2.25706822093578,2.5970394736842106,86.90927665161206,High
goal2_questions,2.135395754057278,2.5592105263157894,83.43962843617128,High
Calls Count,1.5056034249258294,1.9326765188834154,77.90250516396178,High
goal1_questions,3.6687555960218603,5.151315789473684,71.21977657666957,High
TO_OMC_Duration,568.6365448953862,817.0344827586207,69.5976188147472,High
total_discovery_questions,5.2830149236425745,8.200657894736842,64.42184263086011,High
TO_length_in_sec,109.15583542828105,200.4367816091954,54.45898430015169,High
Connection Made Calls,0.4309307627347985,1.1625615763546797,37.067349506425465,Medium
customer_talk_percentage,14.543306377769492,39.49053542009885,36.82732133929899,Medium
agent_talk_percentage,17.667185973902587,53.08078253706754,33.283582361592316,Medium
technical_quality_score,0.9035487773462051,4.231686541737649,21.351977950975133,Medium
